time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-13T14:23:38.168Z,10.3837,-86.0839,36.25,4.6,mb,,176,0.578,1.36,us,us60006rx4,2020-03-04T21:27:07.040Z,"49km WSW of Sardinal, Costa Rica",earthquake,5.7,12.3,0.044,155,reviewed,us,us
2019-12-13T06:40:44.796Z,12.1586,-86.4837,173.45,4.6,mb,,126,0.209,0.68,us,us60006qxh,2020-03-04T21:26:57.040Z,"14km SE of Nagarote, Nicaragua",earthquake,5.2,4.4,0.107,26,reviewed,us,us
2019-12-09T06:12:23.208Z,19.0781,-80.4369,10,5,mww,,25,0.675,0.87,us,us60006p4t,2020-02-29T19:52:44.040Z,"75km ESE of East End, Cayman Islands",earthquake,6.4,1.9,0.065,23,reviewed,us,us
2019-12-08T18:31:42.871Z,10.1239,-85.794,35,4.8,mww,,151,0.254,0.81,us,us60006ny8,2020-02-29T19:52:47.040Z,"27km WSW of Santa Cruz, Costa Rica",earthquake,3.7,2,0.078,16,reviewed,us,us
2019-12-07T07:40:42.671Z,7.2898,-79.7036,10,4.9,mb,,116,1.869,0.81,us,us60006nh1,2020-02-29T19:53:00.040Z,"45km SE of Pedasi, Panama",earthquake,7.3,1.9,0.064,77,reviewed,us,us
2019-12-05T15:11:45.251Z,13.9515,-91.931,40.55,4.6,mb,,130,0.614,1,us,us60006mf1,2020-02-29T19:52:56.040Z,"38km S of Champerico, Guatemala",earthquake,6.4,7,0.034,263,reviewed,us,us
2019-12-03T13:37:58.957Z,12.7846,-88.5609,49.37,4.9,mb,,125,1.505,0.81,us,us70006fit,2020-02-29T19:52:56.040Z,"55km S of Puerto El Triunfo, El Salvador",earthquake,6.7,1.3,0.027,439,reviewed,us,us
2019-11-30T07:44:21.562Z,13.8429,-91.893,19,5.7,mww,,157,0.704,1.17,us,us70006eqm,2020-02-19T18:58:23.040Z,"50km S of Champerico, Guatemala",earthquake,7.4,1.9,0.054,33,reviewed,us,us
2019-11-29T15:08:44.700Z,18.9836,-67.1885,37,4.78,ml,23,202,0.5219,0.82,pr,pr2019333005,2020-02-19T18:58:20.040Z,"51km N of San Antonio, Puerto Rico",earthquake,3.01,12.6,0.11,10,reviewed,pr,pr
2019-11-27T04:03:41.911Z,7.1888,-77.0113,35,4.5,mb,,61,3.418,0.92,us,us60006pcg,2020-02-19T18:57:54.040Z,"30km SSE of Riosucio, Colombia",earthquake,7.2,1.9,0.205,7,reviewed,us,us
2019-11-25T01:33:40.409Z,10.2809,-84.6841,79.33,4.9,mww,,96,0.12,1.13,us,us70006clb,2020-02-14T22:02:19.040Z,"12km SW of Pocosol, Costa Rica",earthquake,5.3,3.5,0.061,26,reviewed,us,us
2019-11-23T15:56:01.721Z,12.3509,-88.2483,44.26,4.6,mb,,90,1.246,0.89,us,us70006c7v,2020-02-14T22:02:15.040Z,"95km SSW of Intipuca, El Salvador",earthquake,7.6,7.3,0.053,113,reviewed,us,us
